threads,N,bins,gen,dist,sort,merge,total
1,60000000,1024,0.326965,0.822646,4.037423,0.174505,5.363600
2,60000000,1024,0.169944,1.085106,1.818613,0.086603,3.162179
4,60000000,1024,0.090837,1.151961,1.028732,0.051893,2.325175
8,60000000,1024,0.057977,1.046477,0.497335,0.025885,1.629417
10,60000000,1024,0.048571,1.069140,0.412506,0.025223,1.557158
12,60000000,1024,0.042581,1.054345,0.342343,0.026456,1.467444
18,60000000,1024,0.034795,1.000633,0.227081,0.025669,1.289872
24,60000000,1024,0.032222,0.967184,0.167864,0.026092,1.195056
36,60000000,1024,0.030264,0.924500,0.114717,0.026049,1.097197
48,60000000,1024,0.044526,0.956570,0.089976,0.026749,1.119548
1,200000000,1024,1.089038,2.733452,14.103322,0.567443,18.495606
2,200000000,1024,0.566344,3.628465,7.199024,0.294182,11.690235
4,200000000,1024,0.303436,3.774405,3.617766,0.155327,7.853000
8,200000000,1024,0.188833,3.491951,1.787958,0.084831,5.555478
10,200000000,1024,0.159973,3.501985,1.434960,0.084873,5.183631
12,200000000,1024,0.139303,3.457283,1.212999,0.080117,4.891485
18,200000000,1024,0.113658,3.534120,0.806490,0.087719,4.543779
24,200000000,1024,0.103224,3.267741,0.593624,0.079988,4.046360
36,200000000,1024,0.098523,3.146805,0.405990,0.090146,3.743244
48,200000000,1024,0.144238,3.164816,0.311058,0.081434,3.703272
1,600000000,1024,3.277721,8.393339,44.616516,1.659317,57.950653
2,600000000,1024,1.697582,10.529017,20.456759,0.865724,33.551663
4,600000000,1024,0.906860,11.314325,11.471097,0.454670,24.149261
8,600000000,1024,0.571712,10.216351,5.475728,0.253549,16.519452
10,600000000,1024,0.481392,10.639370,4.543539,0.284952,15.951372
12,600000000,1024,0.420501,10.366175,3.809681,0.255122,14.853555
18,600000000,1024,0.342138,10.277822,2.523338,0.254733,13.399963
24,600000000,1024,0.305994,9.763967,1.909239,0.257155,12.238222
36,600000000,1024,0.290782,9.282106,1.236452,0.251167,11.062352
48,600000000,1024,0.429895,9.599871,1.017611,0.254808,11.303996

1,60000000,1024,0.327081,0.820838,4.016073,0.173590,5.339640
2,60000000,1024,0.170392,1.121691,2.056123,0.085635,3.435773
4,60000000,1024,0.091270,1.149160,1.030829,0.052091,2.325120
8,60000000,1024,0.057835,1.069919,0.514772,0.026110,1.670381
10,60000000,1024,0.048618,1.026059,0.400829,0.026339,1.503562
12,60000000,1024,0.042770,1.016219,0.321829,0.027173,1.409710
18,60000000,1024,0.035491,1.010806,0.225266,0.025368,1.298609
24,60000000,1024,0.032228,0.978026,0.172308,0.026979,1.211241
36,60000000,1024,0.030978,0.946243,0.116542,0.025741,1.121204
48,60000000,1024,0.047612,0.941887,0.088671,0.030546,1.110423
1,200000000,1024,1.087915,2.722749,14.097491,0.567174,18.477681
2,200000000,1024,0.566084,3.499879,6.462437,0.292373,10.822973
4,200000000,1024,0.302305,3.750302,3.533440,0.155172,7.743269
8,200000000,1024,0.191727,3.446883,1.760424,0.084220,5.485150
10,200000000,1024,0.161064,3.495791,1.426804,0.086405,5.171902
12,200000000,1024,0.141164,3.478055,1.190677,0.080134,4.891853
18,200000000,1024,0.114113,3.380955,0.804974,0.085728,4.387517
24,200000000,1024,0.104527,3.335759,0.601699,0.080975,4.124751
36,200000000,1024,0.098391,3.093424,0.398845,0.091045,3.683440
48,200000000,1024,0.144866,3.120121,0.312222,0.083862,3.662842
1,600000000,1024,3.254796,8.327242,44.636627,1.649793,57.872126
2,600000000,1024,1.698949,10.453426,20.445701,0.864979,33.465716
4,600000000,1024,0.906217,11.341707,11.476946,0.454703,24.181842
8,600000000,1024,0.566819,10.676000,5.724306,0.251871,17.221141
10,600000000,1024,0.477440,10.737634,4.454900,0.268842,15.940927
12,600000000,1024,0.420720,10.484944,3.831037,0.270993,15.009797
18,600000000,1024,0.341983,10.362450,2.558561,0.241097,13.505989
24,600000000,1024,0.309949,9.799959,1.894742,0.254503,12.261061
36,600000000,1024,0.294116,9.373975,1.285708,0.251435,11.207048
48,600000000,1024,0.431287,9.507429,1.001530,0.252348,11.194431

1,60000000,1024,0.328162,0.820092,4.033758,0.173627,5.357733
2,60000000,1024,0.170296,1.129392,2.068612,0.085703,3.455893
4,60000000,1024,0.090971,1.151036,1.032514,0.051538,2.327840
8,60000000,1024,0.058149,1.060320,0.509950,0.025630,1.655767
10,60000000,1024,0.048239,1.071612,0.408036,0.025190,1.554816
12,60000000,1024,0.042822,1.042926,0.345697,0.025954,1.459100
18,60000000,1024,0.034938,1.051004,0.226514,0.025529,1.339700
24,60000000,1024,0.031537,0.966567,0.169521,0.025995,1.195296
36,60000000,1024,0.030396,0.934988,0.113719,0.025403,1.106229
48,60000000,1024,0.044947,0.931170,0.090048,0.026702,1.094538
1,200000000,1024,1.091921,2.737014,14.088389,0.595822,18.515533
2,200000000,1024,0.567500,3.606146,7.216849,0.293551,11.686255
4,200000000,1024,0.302840,3.774299,3.617499,0.158028,7.854781
8,200000000,1024,0.191106,3.514610,1.789555,0.084442,5.581583
10,200000000,1024,0.161143,3.508269,1.385907,0.086806,5.144009
12,200000000,1024,0.140265,3.467062,1.198824,0.079755,4.887687
18,200000000,1024,0.113324,3.368490,0.758813,0.087266,4.329682
24,200000000,1024,0.102820,3.303509,0.593427,0.080801,4.082325
36,200000000,1024,0.100117,3.139851,0.400748,0.089278,3.731761
48,200000000,1024,0.148263,3.152823,0.310651,0.081526,3.694987
1,600000000,1024,3.272673,8.370814,44.705729,1.657345,58.010315
2,600000000,1024,1.696952,10.818325,22.870390,0.863913,36.252160
4,600000000,1024,0.906736,11.332480,11.443814,0.456303,24.141634
8,600000000,1024,0.566269,10.268318,5.581319,0.253178,16.671210
10,600000000,1024,0.479333,10.903224,4.539361,0.292419,16.216457
12,600000000,1024,0.417795,10.337508,3.834059,0.277846,14.869318
18,600000000,1024,0.339677,10.145541,2.500648,0.240069,13.227852
24,600000000,1024,0.308117,9.878141,1.863528,0.260873,12.312567
36,600000000,1024,0.292631,9.486402,1.272288,0.251434,11.304610
48,600000000,1024,0.431552,9.335636,0.982864,0.257444,11.009354

1,60000000,1024,0.325305,0.817256,4.023453,0.173708,5.341777
2,60000000,1024,0.170063,1.130610,2.060688,0.086933,3.450472
4,60000000,1024,0.091526,1.149079,1.031247,0.051694,2.325331
8,60000000,1024,0.057860,1.035041,0.486232,0.025881,1.606763
10,60000000,1024,0.047945,1.099606,0.411059,0.024865,1.585210
12,60000000,1024,0.042650,1.056168,0.344158,0.027274,1.471967
18,60000000,1024,0.034879,1.034633,0.230376,0.026918,1.328516
24,60000000,1024,0.032269,0.996190,0.171683,0.026460,1.228319
36,60000000,1024,0.030471,0.942462,0.116815,0.026174,1.117642
48,60000000,1024,0.044532,0.929935,0.088426,0.026477,1.091101
1,200000000,1024,1.086597,2.770802,14.125762,0.591820,18.577369
2,200000000,1024,0.566443,3.628869,7.216234,0.294986,11.708754
4,200000000,1024,0.302132,3.718416,3.504353,0.157430,7.684455
8,200000000,1024,0.189511,3.493657,1.756459,0.085389,5.526932
10,200000000,1024,0.159518,3.569508,1.433331,0.087210,5.251441
12,200000000,1024,0.140907,3.428315,1.184468,0.079681,4.835219
18,200000000,1024,0.113909,3.361772,0.792380,0.086912,4.356762
24,200000000,1024,0.104234,3.269159,0.591476,0.080763,4.047457
36,200000000,1024,0.098901,3.112968,0.399234,0.091325,3.704168
48,200000000,1024,0.148820,3.197074,0.313008,0.083150,3.743830
1,600000000,1024,3.266247,8.393291,44.715804,1.717878,58.096944
2,600000000,1024,1.694005,10.418752,20.525194,0.893018,33.533620
4,600000000,1024,0.905501,11.332610,11.446739,0.460807,24.147955
8,600000000,1024,0.567013,10.633197,5.604233,0.254653,17.061262
10,600000000,1024,0.476521,10.767145,4.564273,0.266695,16.076743
12,600000000,1024,0.418776,10.498269,3.798027,0.258468,14.975671
18,600000000,1024,0.339172,10.211160,2.533608,0.240310,13.326149
24,600000000,1024,0.307232,9.827424,1.891919,0.258952,12.287481
36,600000000,1024,0.291352,9.225192,1.267243,0.248430,11.034072
48,600000000,1024,0.433887,9.668425,1.004778,0.247542,11.356485

1,60000000,1024,0.327468,0.843212,4.020890,0.173701,5.367344
2,60000000,1024,0.170536,1.126559,2.068892,0.085635,3.453602
4,60000000,1024,0.090691,1.150151,1.028649,0.052395,2.323695
8,60000000,1024,0.057838,1.054136,0.507165,0.026525,1.647431
10,60000000,1024,0.048662,1.063834,0.405273,0.026008,1.545487
12,60000000,1024,0.042828,1.034847,0.334140,0.027077,1.440639
18,60000000,1024,0.035028,1.025984,0.227683,0.026290,1.316658
24,60000000,1024,0.032167,0.981785,0.169504,0.026505,1.211657
36,60000000,1024,0.030873,0.920941,0.112812,0.026634,1.092950
48,60000000,1024,0.043759,0.931873,0.087540,0.027495,1.092397
1,200000000,1024,1.089293,2.726207,14.121607,0.566860,18.506313
2,200000000,1024,0.566431,3.618416,7.231657,0.292558,11.711323
