threads,N,bins,gen,dist,sort,merge,total
1,200000000,2,1.090476,2.283821,28.507381,0.483502,32.365232
1,200000000,16,1.089855,2.353357,23.905541,0.485591,27.834438
1,200000000,32,1.089519,4.042918,22.239879,0.535270,27.907728
1,200000000,64,1.090908,3.133594,20.727410,0.499076,25.451227
1,200000000,128,1.090512,3.057790,19.271041,0.513285,23.933068
1,200000000,256,1.091530,3.082420,17.795257,0.531035,22.501061
1,200000000,512,1.090434,2.665845,16.062034,0.556331,20.376068
1,200000000,640,1.089540,2.724138,15.458297,0.557844,19.831507
1,200000000,768,1.090086,2.763945,15.246203,0.563164,19.665324
1,200000000,896,1.090268,2.792164,14.716789,0.561284,19.162659
1,200000000,1024,1.090020,2.854338,14.107750,0.563022,18.617536
1,200000000,1280,1.089819,3.020139,13.421012,0.571288,18.105170
1,200000000,1536,1.089847,3.041838,13.056660,0.567070,17.758789
1,200000000,2048,1.090384,3.434461,11.797842,0.572052,16.899070
1,200000000,3060,1.089815,3.913874,10.970173,0.577054,16.557205
1,200000000,4096,1.089479,3.910337,9.762287,0.590752,15.361011
1,200000000,6120,1.090125,4.167080,7.804675,0.566772,13.639835
1,200000000,8192,1.090125,4.055312,7.794737,0.540530,13.495542

1,200000000,2,1.101021,2.308798,28.951062,0.487562,32.848502
1,200000000,16,1.099102,2.372429,24.191616,0.486183,28.149431
1,200000000,32,1.095250,2.414721,22.638592,0.501251,26.649971
1,200000000,64,1.099837,3.243647,21.055445,0.505727,25.904911
1,200000000,128,1.101125,3.199993,19.553863,0.522335,24.377765
1,200000000,256,1.096297,3.159048,17.895247,0.544978,22.696732
1,200000000,512,1.093432,3.302933,16.195936,0.594416,21.188125
1,200000000,640,1.109573,3.543198,15.584151,0.596825,20.835508
1,200000000,768,1.110728,3.576480,15.316369,0.597472,20.603035
1,200000000,896,1.109979,3.604022,14.817752,0.599657,20.133635
1,200000000,1024,1.110327,3.616331,14.213717,0.598233,19.540989
1,200000000,1280,1.109666,3.701155,13.468447,0.603023,18.885261
1,200000000,1536,1.099175,3.646594,13.095985,0.585367,18.430381
1,200000000,2048,1.093951,3.786555,11.787116,0.594587,17.266579
1,200000000,3060,1.093453,4.183259,10.919902,0.599388,16.802247
1,200000000,4096,1.094543,4.231092,9.781355,0.601442,15.716610
1,200000000,6120,1.093700,4.415094,7.796605,0.541279,13.857827
1,200000000,8192,1.088456,4.168842,7.789345,0.552815,13.614122

1,200000000,2,1.108785,2.435123,29.035002,0.499005,33.077976
1,200000000,16,1.175226,2.403152,24.791917,0.490912,28.861311
1,200000000,32,1.117673,2.521474,22.937129,0.513869,27.090307
1,200000000,64,1.111752,3.531297,21.419304,0.593441,26.656402
1,200000000,128,1.142960,3.518967,19.849929,0.543231,25.055600
1,200000000,256,1.170056,3.694474,18.242912,0.569989,23.678494
1,200000000,512,1.096700,3.320955,16.293673,0.561841,21.274637
1,200000000,640,1.107662,3.590404,15.616960,0.583648,20.900436
1,200000000,768,1.145823,3.524863,15.347539,0.576858,20.597098
1,200000000,896,1.144691,3.318071,14.823411,0.609796,19.898222
1,200000000,1024,1.112142,3.432429,14.226931,0.597347,19.371225
1,200000000,1280,1.093710,3.736748,13.483210,0.566966,18.883599
1,200000000,1536,1.099793,3.786355,13.098642,0.573333,18.561536
1,200000000,2048,1.104004,4.070191,11.812821,0.579391,17.571557
1,200000000,3060,1.098715,4.423189,10.940110,0.591296,17.059546
1,200000000,4096,1.100692,4.404879,9.776942,0.624728,15.915315
1,200000000,6120,1.102800,4.643559,7.819585,0.614918,14.192255
1,200000000,8192,1.134619,4.518265,7.831719,0.547202,14.046956

1,200000000,2,1.098641,2.307323,28.901299,0.486351,32.793677
1,200000000,16,1.094100,2.375492,24.210568,0.491699,28.171946
1,200000000,32,1.101233,2.426701,22.497347,0.504619,26.530053
1,200000000,64,1.103008,3.251886,20.962362,0.505973,25.823828
1,200000000,128,1.099607,3.182147,19.450998,0.521552,24.255104
1,200000000,256,1.095716,3.411098,17.947722,0.540158,22.995850
1,200000000,512,1.093658,3.304619,16.177309,0.567822,21.144838
1,200000000,640,1.100674,3.356435,15.521223,0.573442,20.553765
1,200000000,768,1.097068,3.394241,15.310411,0.570640,20.374313
1,200000000,896,1.095059,3.419401,14.777941,0.565307,19.859823
1,200000000,1024,1.097230,3.490591,14.167980,0.573546,19.331717
1,200000000,1280,1.097357,3.657971,13.449008,0.584493,18.791769
1,200000000,1536,1.099676,3.581635,13.085293,0.575222,18.345324
1,200000000,2048,1.093425,3.808281,11.828872,0.593148,17.328024
1,200000000,3060,1.093313,4.227092,10.943322,0.600428,16.870180
1,200000000,4096,1.098228,4.220393,9.728699,0.611982,15.667504
1,200000000,6120,1.095094,4.421613,7.810130,0.585003,13.922697
1,200000000,8192,1.097219,4.357761,7.806339,0.560781,13.836946

1,200000000,2,1.100591,2.305044,28.814080,0.483624,32.703395
1,200000000,16,1.096116,2.373942,24.162735,0.493994,28.126882
1,200000000,32,1.093491,2.401392,22.523430,0.501268,26.519730
1,200000000,64,1.093886,3.245781,20.956110,0.508507,25.804529
1,200000000,128,1.096549,3.179836,19.414619,0.519278,24.210721
1,200000000,256,1.093579,3.380111,17.889508,0.535126,22.899140
1,200000000,512,1.093352,3.303259,16.169645,0.573235,21.140915
1,200000000,640,1.094191,3.434849,15.497530,0.564925,20.593141
1,200000000,768,1.096717,3.422075,15.299031,0.567100,20.386903
1,200000000,896,1.097420,3.522865,14.742769,0.569773,19.934964
1,200000000,1024,1.103022,3.532702,14.158424,0.581407,19.378012
1,200000000,1280,1.093206,3.603347,13.445240,0.570196,18.714896
1,200000000,1536,1.096488,3.586934,13.076534,0.586982,18.350326
1,200000000,2048,1.098336,3.824287,11.813672,0.593025,17.333785
1,200000000,3060,1.094760,4.244549,10.951661,0.594152,16.891225
1,200000000,4096,1.096735,4.235443,9.748870,0.597461,15.686683
1,200000000,6120,1.098999,4.461078,7.809506,0.553588,13.934222
1,200000000,8192,1.096679,4.348681,7.813466,0.579887,13.853496
