threads;schedule_type;chunk_size;N;time
6;0;4;10000000;0.029802
6;0;1000;10000000;0.013910
6;0;1000000;10000000;0.015231
6;1;4;10000000;0.105846
6;1;1000;10000000;0.012747
6;1;1000000;10000000;0.015907
6;2;4;10000000;0.013034
6;2;1000;10000000;0.010992
6;2;1000000;10000000;0.014223
6;0;4;1000000000;2.460695
6;0;1000;1000000000;1.170569
6;0;1000000;1000000000;1.209413
6;1;4;1000000000;10.404389
6;1;1000;1000000000;1.202495
6;1;1000000;1000000000;1.207069
6;2;4;1000000000;1.072264
6;2;1000;1000000000;1.282443
6;2;1000000;1000000000;1.237828
